epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.4522992968559265,1.6578482389450073,0.5430589318275452,0.2002667635679245,0.5425646305084229,1.345515489578247,0.7347391843795776,0.17834052443504333
1,0.46975383162498474,1.2252603769302368,0.5954926609992981,0.1966477930545807,0.5393319129943848,1.162217617034912,0.7159926295280457,0.2098599076271057
2,0.47916799783706665,1.1098312139511108,0.6039049029350281,0.21248647570610046,0.5342133641242981,1.1041805744171143,0.7194656729698181,0.203125
3,0.4876598119735718,1.0714552402496338,0.608660876750946,0.21770243346691132,0.5245150923728943,1.0741440057754517,0.7326549291610718,0.21336206793785095
4,0.49246230721473694,1.0600674152374268,0.6089338660240173,0.2297881841659546,0.540678858757019,1.0668091773986816,0.7253333330154419,0.2198275923728943
5,0.5043890476226807,1.0449120998382568,0.6188565492630005,0.23548120260238647,0.5466055870056152,1.0564824342727661,0.7296329736709595,0.21955819427967072
6,0.5085236430168152,1.0376274585723877,0.6113832592964172,0.25007951259613037,0.545258641242981,1.0490305423736572,0.7329887747764587,0.22925646603107452
7,0.5144392848014832,1.0317213535308838,0.6197419762611389,0.25818967819213867,0.4684806168079376,1.0656026601791382,0.5515500903129578,0.2060883641242981
8,0.5177151560783386,1.0245990753173828,0.6131717562675476,0.2670949697494507,0.5269396305084229,1.0426920652389526,0.7207515239715576,0.22737069427967072
9,0.521404504776001,1.016304612159729,0.6194621324539185,0.27838560938835144,0.516972005367279,1.0403021574020386,0.6617320775985718,0.24084052443504333
10,0.5256026983261108,1.0139144659042358,0.6219730377197266,0.2875453233718872,0.5449892282485962,1.0385416746139526,0.7332782745361328,0.2392241358757019
11,0.5287195444107056,1.006382703781128,0.6249582767486572,0.2976909875869751,0.5398706793785095,1.032461404800415,0.7142857313156128,0.2451508641242981
12,0.531168520450592,1.0045225620269775,0.6221156120300293,0.30526047945022583,0.5425646305084229,1.04156494140625,0.7129080295562744,0.2588900923728943
13,0.5355257391929626,1.0049597024917603,0.6253482103347778,0.31416577100753784,0.545527994632721,1.0443147420883179,0.7149187326431274,0.2607758641242981
14,0.5370205640792847,1.0014314651489258,0.6308007836341858,0.3229438364505768,0.537715494632721,1.0450628995895386,0.6998556852340698,0.26131466031074524
15,0.541727602481842,0.9983182549476624,0.6297691464424133,0.32968640327453613,0.522090494632721,1.0469114780426025,0.6727272868156433,0.2790948152542114
16,0.5450989007949829,0.9924425482749939,0.62896329164505,0.3369060456752777,0.5075430870056152,1.0457162857055664,0.6489576101303101,0.2599676847457886
17,0.547484278678894,0.9888060092926025,0.6321865916252136,0.3430761396884918,0.5126616358757019,1.0540248155593872,0.6614069938659668,0.27101293206214905
18,0.5502512454986572,0.986905574798584,0.6357551217079163,0.3534444272518158,0.5360991358757019,1.0546541213989258,0.6725826263427734,0.2960668206214905
19,0.5532090663909912,0.9926302433013916,0.6366552114486694,0.3598371744155884,0.5344827771186829,1.0609618425369263,0.6635462641716003,0.32462283968925476
20,0.5554990172386169,0.9891581535339355,0.6393252015113831,0.3676292896270752,0.5153555870056152,1.0666158199310303,0.6332199573516846,0.3009159564971924
21,0.5614782571792603,0.9866414666175842,0.6439595222473145,0.37822020053863525,0.49380388855934143,1.0817859172821045,0.6218289136886597,0.28394395112991333
22,0.5743273496627808,0.9722480177879333,0.6587711572647095,0.38124164938926697,0.4900323152542114,1.0708539485931396,0.5956454277038574,0.3095366358757019
23,0.5726099014282227,0.9623813629150391,0.6567045450210571,0.3934546113014221,0.48787716031074524,1.0672833919525146,0.5902140736579895,0.31196120381355286
24,0.5744227170944214,0.956614077091217,0.6565189957618713,0.3978118300437927,0.49057111144065857,1.0637017488479614,0.5950329303741455,0.3162715435028076
25,0.5805928111076355,0.9499433040618896,0.6632324457168579,0.3992430567741394,0.4913793206214905,1.0623064041137695,0.5890341997146606,0.3154633641242981
26,0.5782074928283691,0.9453468322753906,0.663519024848938,0.40226447582244873,0.4862607717514038,1.062171220779419,0.5837081670761108,0.3146551847457886
27,0.5790662169456482,0.9436308145523071,0.6598554849624634,0.4036320745944977,0.48787716031074524,1.0613207817077637,0.5825436115264893,0.3146551847457886
28,0.582850992679596,0.9399676322937012,0.6689227819442749,0.40862539410591125,0.4881465435028076,1.0612107515335083,0.5837462544441223,0.3173491358757019
29,0.586667537689209,0.9361230731010437,0.6678117513656616,0.4142548143863678,0.4919181168079376,1.061434030532837,0.5866796970367432,0.32273706793785095
30,0.5870491862297058,0.9334431886672974,0.6695411205291748,0.4148591160774231,0.4889547526836395,1.0642139911651611,0.5836228132247925,0.31681033968925476
31,0.590484082698822,0.9309975504875183,0.6738022565841675,0.4204567074775696,0.4841056168079376,1.0637211799621582,0.5773751139640808,0.31761854887008667
32,0.5939825773239136,0.9260680675506592,0.6778270602226257,0.42303287982940674,0.5080819129943848,1.0604546070098877,0.5987654328346252,0.3397090435028076
33,0.5924559235572815,0.9258970618247986,0.6791598796844482,0.42475032806396484,0.5123922228813171,1.0603363513946533,0.6017950177192688,0.34321120381355286
34,0.5911519527435303,0.9246785640716553,0.676281213760376,0.4243050813674927,0.5121228694915771,1.0603665113449097,0.6012299060821533,0.34240302443504333
35,0.5961452722549438,0.9215298295021057,0.6814100742340088,0.42726290225982666,0.5121228694915771,1.0604809522628784,0.5996223092079163,0.34213361144065857
36,0.5964633226394653,0.9207490682601929,0.6792970299720764,0.42535462975502014,0.5118534564971924,1.060210943222046,0.6016030311584473,0.34375
37,0.5961771011352539,0.9212709665298462,0.6832782030105591,0.4269130527973175,0.5115840435028076,1.0602569580078125,0.6019877195358276,0.3426724076271057
38,0.5967495441436768,0.9221899509429932,0.6786184310913086,0.4261815547943115,0.5096982717514038,1.060333013534546,0.6012299060821533,0.34240302443504333
39,0.5943006277084351,0.9212015867233276,0.6784236431121826,0.4276127517223358,0.5088900923728943,1.0602644681930542,0.6034155488014221,0.3426724076271057
40,0.5971630215644836,0.9203060269355774,0.6804888844490051,0.42850327491760254,0.5096982717514038,1.0603199005126953,0.6016067862510681,0.3429418206214905
41,0.6005661487579346,0.9179476499557495,0.6852525472640991,0.43152472376823425,0.5105064511299133,1.0604653358459473,0.5996232032775879,0.3429418206214905
